"player_id","FirstName","Surname","PositionsList","Team","Cost","TotalPoints"
"Fabinho_NAMELESS_MID","NAMELESS","Fabinho","MID","LIV",5400000,71
"Fernandes_NAMELESS_MID","NAMELESS","Fernandes","MID","MUN",11300000,244
"Fernandez_Federico_DEF","Federico","Fernandez","DEF","NEW",4700000,53
"Firmino_Roberto_FWD","Roberto","Firmino","FWD","LIV",9100000,141
"Fleck_John_MID","John","Fleck","MID","SHU",5600000,70
"Fofana_Wesley_DEF","Wesley","Fofana","DEF","LEI",5e+06,71
"Fornals_Pablo_MID","Pablo","Fornals","MID","WHU",5800000,125
"Fred_NAMELESS_MID","NAMELESS","Fred","MID","MUN",5300000,69
"Furlong_Darnell_DEF","Darnell","Furlong","DEF","WBA",4500000,79
"Gabriel_NAMELESS_DEF","NAMELESS","Gabriel","DEF","ARS",4900000,78
"Gallagher_Conor_MID","Conor","Gallagher","MID","WBA",5500000,71
"Godfrey_Ben_DEF","Ben","Godfrey","DEF","EVE",5100000,100
"Grealish_Jack_MID","Jack","Grealish","MID","AVL",7500000,135
"Greenwood_Mason_MID","Mason","Greenwood","MID","MUN",7300000,106
"Gro?_Pascal_MID","Pascal","Gro?","MID","BHA",5800000,116
